,dataset,method,metric,object_class,q2,q5,q8,recall,order_key,norder_key
7,bdd,random,time savings,geomean,,0.8724474818218576,,0.1,"('bdd', 'geomean')",0
8,bdd,random,savings in frames,geomean,,0.8401731859496782,,0.5,"('bdd', 'geomean')",0
9,bdd,random,time savings,geomean,,0.8401731859496782,,0.5,"('bdd', 'geomean')",0
10,bdd,random,savings in frames,geomean,,0.985355555056825,,0.9,"('bdd', 'geomean')",0
11,bdd,random,time savings,geomean,,0.9853555550568249,,0.9,"('bdd', 'geomean')",0
12,bdd,this work,savings in frames,geomean,,1.644655047015911,,0.1,"('bdd', 'geomean')",0
13,bdd,this work,time savings,geomean,,1.644655047015911,,0.1,"('bdd', 'geomean')",0
14,bdd,this work,savings in frames,geomean,,1.8315646890864674,,0.5,"('bdd', 'geomean')",0
15,bdd,this work,time savings,geomean,,1.8315646890864672,,0.5,"('bdd', 'geomean')",0
16,bdd,this work,savings in frames,geomean,,1.5642191767952507,,0.9,"('bdd', 'geomean')",0
17,bdd,this work,time savings,geomean,,1.5642191767952505,,0.9,"('bdd', 'geomean')",0
